================================================================================
Experiment Configuration
================================================================================
Dataset: rm-500
Model Family: gpt4all-j
Model Version: nomic-ai/gpt4all-j
Answer Mode: index-desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.248, -14.9493, -15.7261, -16.1058]
>> QUESTION #2     | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-15.1137, -15.2864, -15.2941, -14.8333]
>> QUESTION #3     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.79, -16.5263, -16.9002, -18.0346]
>> QUESTION #4     | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-18.6806, -18.0804, -18.5238, -18.217]
>> QUESTION #5     | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.3328, -17.4312, -16.4512, -16.7226]
>> QUESTION #6     | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-19.1172, -17.1729, -16.1416, -17.3141]
>> QUESTION #7     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.157, -22.152, -16.3184, -16.9085]
>> QUESTION #8     | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.2546, -18.0019, -18.1231, -15.3507]
>> QUESTION #9     | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.4591, -15.4817, -15.8908, -15.3479]
>> QUESTION #10    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-20.5161, -20.2337, -20.9852, -19.9523]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.3358, -17.4877, -16.0281, -15.552]
>> QUESTION #12    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.2225, -17.4469, -17.4873, -16.7492]
>> QUESTION #13    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.1898, -16.2035, -17.5837, -15.6913]
>> QUESTION #14    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-16.3759, -17.0645, -17.6239, -16.6896]
>> QUESTION #15    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-12.654, -12.0557, -15.0611, -14.0701]
>> QUESTION #16    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-14.0025, -14.2245, -16.2832, -16.1315]
>> QUESTION #17    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.0693, -16.9106, -15.012, -16.1255]
>> QUESTION #18    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.5349, -14.6388, -14.4373, -15.7252]
>> QUESTION #19    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.5713, -14.0686, -15.0102, -15.5076]
>> QUESTION #20    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.5316, -15.303, -15.9567, -15.3319]
>> QUESTION #21    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.571, -16.6246, -16.9418, -16.0521]
>> QUESTION #22    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-15.9477, -16.8397, -18.2934, -18.1888]
>> QUESTION #23    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.3721, -15.5336, -16.8159, -16.3634]
>> QUESTION #24    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.1605, -15.0267, -18.3856, -16.4062]
>> QUESTION #25    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.651, -17.2638, -16.2387, -17.3046]
>> QUESTION #26    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-15.5044, -16.5794, -16.4658, -17.1717]
>> QUESTION #27    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.5262, -13.609, -14.0223, -13.6088]
>> QUESTION #28    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.0514, -19.5451, -14.5997, -16.0001]
>> QUESTION #29    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.6606, -15.4348, -15.8776, -15.3194]
>> QUESTION #30    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.7811, -16.0024, -15.7942, -15.8357]
>> QUESTION #31    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.2501, -16.3528, -15.7991, -15.8657]
>> QUESTION #32    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.166, -16.6164, -18.3631, -14.9112]
>> QUESTION #33    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.6183, -16.1217, -16.7744, -15.6832]
>> QUESTION #34    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.9766, -12.9025, -13.8732, -15.0196]
>> QUESTION #35    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-16.8017, -16.7816, -18.6503, -16.4485]
>> QUESTION #36    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.7903, -15.0203, -15.659, -15.5895]
>> QUESTION #37    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.9822, -16.1075, -14.3575, -15.5469]
>> QUESTION #38    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-15.6502, -16.0247, -16.0443, -16.3666]
