================================================================================
Experiment Configuration
================================================================================
Dataset: cqa-500
Model Family: gpt-j
Model Version: EleutherAI/gpt-j-6B
Answer Mode: index-desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.7139, -11.902, -12.0817, -12.1995]
>> QUESTION #2     | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-13.5824, -13.7799, -13.2426, -12.7755]
>> QUESTION #3     | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.4115, -10.3245, -10.988, -10.5937]
>> QUESTION #4     | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.0945, -11.9083, -12.6457, -9.9929]
>> QUESTION #5     | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.4256, -10.6027, -12.2801, -11.8291]
>> QUESTION #6     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.3927, -11.9994, -12.5009, -14.4255]
>> QUESTION #7     | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.1009, -12.9085, -12.1594, -12.0293]
>> QUESTION #8     | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.8639, -11.0706, -12.8684, -10.5989]
>> QUESTION #9     | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.7461, -11.0331, -11.7797, -11.7042]
>> QUESTION #10    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.2548, -13.188, -11.4239, -11.4428]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1135, -13.0515, -12.7694, -12.1636]
>> QUESTION #12    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.6392, -10.4837, -12.1161, -11.3623]
>> QUESTION #13    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.2857, -12.2621, -11.7357, -11.4754]
>> QUESTION #14    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.437, -12.2955, -11.9202, -10.0438]
>> QUESTION #15    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.6524, -12.2957, -12.2917, -10.0488]
>> QUESTION #16    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-13.0798, -12.5483, -12.1637, -12.268]
>> QUESTION #17    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.5938, -12.1068, -10.4869, -11.3166]
>> QUESTION #18    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.6925, -12.0157, -10.7627, -11.8026]
>> QUESTION #19    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.5952, -12.3702, -10.3525, -11.4926]
>> QUESTION #20    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.2364, -11.957, -11.763, -10.1586]
>> QUESTION #21    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.3483, -11.8972, -10.7957, -11.8282]
>> QUESTION #22    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.6505, -12.9534, -11.0439, -10.8373]
>> QUESTION #23    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.6547, -10.6785, -11.8233, -14.0592]
>> QUESTION #24    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.4255, -12.0362, -10.859, -11.1497]
>> QUESTION #25    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1525, -13.7529, -10.8025, -12.8323]
>> QUESTION #26    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.4039, -13.4629, -11.5435, -14.4707]
>> QUESTION #27    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.43, -12.3636, -12.8057, -10.1206]
>> QUESTION #28    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.6458, -9.1324, -9.3079, -9.9683]
>> QUESTION #29    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.9752, -14.0392, -12.4609, -12.8208]
>> QUESTION #30    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6607, -12.8848, -13.3914, -11.6928]
>> QUESTION #31    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.5694, -10.3075, -11.5822, -13.2716]
>> QUESTION #32    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.1213, -13.905, -10.5647, -12.1631]
>> QUESTION #33    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.5929, -12.3836, -11.3461, -12.3921]
>> QUESTION #34    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-13.302, -14.6242, -13.5036, -12.3499]
>> QUESTION #35    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.4307, -12.9863, -10.6539, -12.0021]
>> QUESTION #36    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.1458, -11.0407, -11.4493, -9.9146]
>> QUESTION #37    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-12.8879, -13.3438, -13.3813, -12.4626]
>> QUESTION #38    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2046, -11.7203, -11.6319, -12.6997]
>> QUESTION #39    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.7706, -11.5087, -11.5692, -11.1825]
>> QUESTION #40    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.5656, -11.334, -13.4958, -14.5846]
>> QUESTION #41    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-12.5186, -11.9592, -10.8851, -11.9777]
>> QUESTION #42    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.7967, -10.0699, -10.9207, -10.1858]
>> QUESTION #43    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.6369, -12.3259, -12.9792, -10.5046]
>> QUESTION #44    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.1604, -13.7219, -10.8295, -12.2615]
>> QUESTION #45    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.399, -12.4031, -12.4136, -12.1857]
>> QUESTION #46    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.1852, -11.7539, -12.4189, -10.1424]
>> QUESTION #47    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.2741, -10.9641, -11.9592, -12.5563]
>> QUESTION #48    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.8939, -11.8589, -10.2693, -13.7758]
>> QUESTION #49    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.2366, -11.5164, -11.2647, -11.3865]
>> QUESTION #50    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.5116, -13.429, -12.82, -10.4631]
>> QUESTION #51    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-13.7294, -12.4808, -10.2222, -11.7353]
>> QUESTION #52    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-13.721, -12.6764, -10.9968, -13.4729]
>> QUESTION #53    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.59, -10.8768, -10.5258, -10.2996]
>> QUESTION #54    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.7119, -11.6179, -10.1833, -10.9888]
>> QUESTION #55    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.4218, -14.2016, -11.693, -11.1281]
>> QUESTION #56    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.4162, -12.8484, -11.1959, -11.6723]
>> QUESTION #57    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-10.5152, -11.0707, -10.8288, -9.9894]
>> QUESTION #58    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.924, -13.0163, -13.0668, -11.8348]
>> QUESTION #59    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.005, -11.8225, -11.3183, -10.9094]
>> QUESTION #60    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.3197, -15.0481, -12.2375, -10.4452]
>> QUESTION #61    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.9316, -11.5721, -11.6667, -9.7976]
>> QUESTION #62    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.4592, -11.0578, -11.0047, -10.9225]
>> QUESTION #63    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.7941, -13.2128, -10.7878, -12.3077]
>> QUESTION #64    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.9489, -14.3252, -12.585, -15.7492]
>> QUESTION #65    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.386, -10.7115, -11.032, -11.9411]
>> QUESTION #66    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-12.5251, -10.8517, -11.5091, -10.3558]
>> QUESTION #67    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.1934, -11.1358, -12.7791, -12.1155]
>> QUESTION #68    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-12.3604, -12.8488, -11.9919, -12.4471]
>> QUESTION #69    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.0441, -11.8089, -10.1264, -10.3046]
>> QUESTION #70    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.9116, -11.1465, -10.794, -11.8936]
>> QUESTION #71    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2725, -11.0926, -10.6733, -11.8517]
>> QUESTION #72    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6587, -11.9397, -11.7793, -12.4694]
>> QUESTION #73    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.0607, -12.3955, -11.8541, -12.3107]
>> QUESTION #74    | Ground Truth: 0 | Answer: 0 | ✔
