================================================================================
Experiment Configuration
================================================================================
Dataset: rm-500
Model Family: gpt4all-j
Model Version: nomic-ai/gpt4all-j
Answer Mode: index
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.2481, -11.6628, -12.7648, -12.2641]
>> QUESTION #2     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.0334, -13.7582, -14.6563, -15.9742]
>> QUESTION #3     | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.7949, -12.492, -14.2742, -14.1789]
>> QUESTION #4     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.2049, -14.3778, -15.0087, -16.3029]
>> QUESTION #5     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.1867, -10.7868, -14.7422, -14.8557]
>> QUESTION #6     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.1594, -12.5253, -13.9936, -14.4104]
>> QUESTION #7     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.9177, -13.5981, -15.2663, -15.535]
>> QUESTION #8     | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.161, -13.2477, -14.8323, -15.0255]
>> QUESTION #9     | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0285, -11.2481, -13.6089, -12.9467]
>> QUESTION #10    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.8033, -13.2658, -15.7187, -13.8136]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.5731, -12.5168, -14.1779, -12.9023]
>> QUESTION #12    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.9971, -11.5376, -13.8156, -12.8785]
>> QUESTION #13    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.4188, -13.5764, -14.6438, -14.9408]
>> QUESTION #14    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2082, -12.8138, -14.5408, -13.3606]
>> QUESTION #15    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2609, -12.4107, -15.6941, -15.6048]
>> QUESTION #16    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.1968, -11.6114, -13.5166, -13.8232]
>> QUESTION #17    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.264, -10.0748, -14.9343, -14.4889]
>> QUESTION #18    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.3889, -14.5317, -16.231, -17.3582]
>> QUESTION #19    | Ground Truth: 2 | Answer: 0 | ✘
