================================================================================
Experiment Configuration
================================================================================
Dataset: cqa-500
Model Family: gpt4all-j
Model Version: nomic-ai/gpt4all-j
Answer Mode: index
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.8792, -11.0248, -14.2239, -13.9575]
>> QUESTION #2     | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.4366, -12.2338, -15.4225, -15.3808]
>> QUESTION #3     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6494, -14.0532, -15.4232, -15.4361]
>> QUESTION #4     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.7235, -11.6454, -14.6131, -15.7871]
>> QUESTION #5     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.9614, -13.3361, -12.6089, -13.905]
>> QUESTION #6     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.2762, -10.4241, -13.6537, -12.6328]
>> QUESTION #7     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.7428, -10.9563, -15.2341, -13.6589]
>> QUESTION #8     | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.3232, -13.4956, -16.7327, -17.6244]
>> QUESTION #9     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.1325, -14.4958, -15.6734, -13.3827]
>> QUESTION #10    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.5321, -12.6246, -14.4519, -12.9561]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.0218, -9.9307, -12.7517, -13.1658]
>> QUESTION #12    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.3434, -12.5424, -13.1369, -11.2732]
>> QUESTION #13    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.8699, -12.0285, -14.5082, -14.2786]
>> QUESTION #14    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6755, -13.2537, -16.7385, -17.3262]
>> QUESTION #15    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.3234, -13.3397, -15.3924, -16.2927]
>> QUESTION #16    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0339, -11.5616, -13.3305, -12.7511]
>> QUESTION #17    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8505, -11.5808, -16.4617, -14.1328]
>> QUESTION #18    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.7247, -11.6189, -16.3573, -16.6171]
>> QUESTION #19    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.4456, -11.8784, -14.8376, -13.6267]
>> QUESTION #20    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.3083, -11.6276, -14.7672, -17.1277]
>> QUESTION #21    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.292, -12.6933, -16.7571, -15.4903]
>> QUESTION #22    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8614, -13.1568, -15.6946, -14.7102]
>> QUESTION #23    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6651, -14.0751, -14.1826, -12.995]
>> QUESTION #24    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.5582, -12.5475, -16.242, -15.1371]
>> QUESTION #25    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.0135, -12.529, -13.5756, -14.8702]
>> QUESTION #26    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.686, -11.3739, -14.4026, -14.0991]
>> QUESTION #27    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.4063, -12.7639, -14.7529, -16.1101]
>> QUESTION #28    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.8048, -12.5054, -15.3049, -16.8312]
>> QUESTION #29    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.5123, -11.955, -13.9708, -14.5743]
>> QUESTION #30    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.9857, -12.5549, -14.0413, -13.8244]
>> QUESTION #31    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.0107, -14.6928, -14.8699, -14.6058]
>> QUESTION #32    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.9831, -12.1162, -14.1997, -14.0154]
>> QUESTION #33    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-11.9143, -11.0196, -14.9733, -14.9459]
>> QUESTION #34    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2175, -10.5111, -13.1311, -11.9639]
>> QUESTION #35    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1507, -14.2381, -16.0569, -15.1329]
>> QUESTION #36    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.4226, -11.5933, -14.1278, -16.4875]
>> QUESTION #37    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.3152, -11.9584, -13.8309, -13.82]
>> QUESTION #38    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.707, -11.9335, -15.096, -14.8945]
>> QUESTION #39    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.0351, -12.3081, -15.64, -14.1995]
>> QUESTION #40    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.4995, -10.9014, -13.3452, -14.2118]
>> QUESTION #41    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6677, -12.8661, -15.7792, -15.231]
>> QUESTION #42    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-12.0538, -13.6655, -14.915, -15.6132]
>> QUESTION #43    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.142, -12.0587, -15.1483, -15.918]
>> QUESTION #44    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.9922, -13.2996, -16.252, -14.6443]
>> QUESTION #45    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6561, -14.2259, -15.8372, -13.6798]
>> QUESTION #46    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.9565, -13.1121, -15.6417, -17.3097]
>> QUESTION #47    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.8804, -12.3484, -14.8169, -16.5635]
>> QUESTION #48    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.9735, -13.0942, -16.6266, -15.4642]
>> QUESTION #49    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.5612, -10.7808, -14.1035, -15.8254]
>> QUESTION #50    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.3178, -10.5843, -14.9754, -18.1536]
>> QUESTION #51    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.5578, -11.1231, -15.9784, -15.142]
>> QUESTION #52    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.7931, -12.5243, -14.8121, -13.5833]
>> QUESTION #53    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.458, -13.3512, -15.7871, -15.6554]
>> QUESTION #54    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.0134, -13.6982, -17.3513, -14.8514]
>> QUESTION #55    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.8679, -11.9658, -14.5475, -14.9874]
>> QUESTION #56    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.8764, -12.9137, -15.242, -13.9128]
>> QUESTION #57    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.3259, -11.7859, -15.1081, -16.5124]
>> QUESTION #58    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.605, -11.8889, -14.0497, -13.1986]
>> QUESTION #59    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.7662, -11.8492, -14.6737, -14.7497]
>> QUESTION #60    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.3323, -10.3627, -14.0209, -14.8166]
>> QUESTION #61    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.303, -11.4079, -13.9305, -15.791]
>> QUESTION #62    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.6949, -10.4548, -13.7095, -12.3821]
>> QUESTION #63    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.2506, -11.9084, -16.1087, -15.6072]
>> QUESTION #64    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.2338, -12.0768, -15.7054, -15.4989]
>> QUESTION #65    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.9519, -13.7556, -14.3891, -13.8605]
>> QUESTION #66    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2133, -11.8284, -15.2034, -17.0642]
>> QUESTION #67    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.7173, -13.2856, -12.8515, -13.5895]
>> QUESTION #68    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.7707, -10.2408, -12.7931, -12.6017]
>> QUESTION #69    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.4303, -12.31, -15.4214, -16.8296]
