================================================================================
Experiment Configuration
================================================================================
Dataset: rm-500
Model Family: gpt4all-j
Model Version: nomic-ai/gpt4all-j
Answer Mode: desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.1898, -13.8067, -14.8784, -14.3222]
>> QUESTION #2     | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-15.7907, -15.8502, -15.1899, -13.7724]
>> QUESTION #3     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.2802, -15.0651, -15.8774, -16.3765]
>> QUESTION #4     | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.5171, -16.3476, -18.0032, -17.2575]
>> QUESTION #5     | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.3953, -17.4683, -15.2336, -15.8057]
>> QUESTION #6     | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.7209, -15.2864, -14.3021, -15.3178]
>> QUESTION #7     | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-13.6403, -25.1791, -10.6522, -13.2512]
>> QUESTION #8     | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.1241, -15.9013, -16.3815, -12.7737]
>> QUESTION #9     | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.3895, -14.8857, -14.65, -13.836]
>> QUESTION #10    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-20.618, -19.7323, -20.2948, -19.6942]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.7151, -15.6372, -13.9664, -13.9585]
>> QUESTION #12    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.745, -16.3402, -16.4688, -16.1964]
>> QUESTION #13    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1437, -14.3628, -16.3733, -14.0276]
>> QUESTION #14    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.1762, -14.3634, -15.2634, -14.7347]
>> QUESTION #15    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-13.2694, -10.4485, -12.6426, -13.9424]
>> QUESTION #16    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.1605, -12.1071, -13.894, -14.4432]
>> QUESTION #17    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.3687, -13.189, -12.0245, -14.1253]
>> QUESTION #18    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.1374, -14.4381, -13.1071, -14.9655]
>> QUESTION #19    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.4108, -13.411, -13.1935, -16.0294]
>> QUESTION #20    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.319, -12.7154, -12.9485, -13.5285]
>> QUESTION #21    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.3546, -15.049, -15.8068, -14.9085]
>> QUESTION #22    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.3087, -14.1083, -15.0787, -14.4583]
>> QUESTION #23    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.9347, -13.4477, -14.2347, -13.7399]
>> QUESTION #24    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.3046, -14.3348, -18.1965, -15.1217]
>> QUESTION #25    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-14.2594, -15.112, -13.7239, -15.4411]
>> QUESTION #26    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-14.902, -16.158, -15.6517, -16.6743]
>> QUESTION #27    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.4162, -14.6052, -12.6065, -13.4115]
>> QUESTION #28    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.3663, -17.8473, -15.7954, -16.5888]
>> QUESTION #29    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-13.4576, -13.1687, -13.2994, -12.5693]
>> QUESTION #30    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.7907, -15.0299, -15.2136, -15.1089]
>> QUESTION #31    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.6698, -13.4115, -13.3662, -12.6822]
>> QUESTION #32    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.4533, -17.2122, -18.5378, -14.4185]
>> QUESTION #33    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-14.9651, -14.4012, -15.6719, -15.2639]
>> QUESTION #34    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.6236, -8.2651, -11.4981, -14.8126]
>> QUESTION #35    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-16.3703, -15.5678, -17.2892, -14.388]
>> QUESTION #36    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.3489, -13.9869, -14.3964, -14.3272]
>> QUESTION #37    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.8501, -14.8808, -12.5094, -13.925]
>> QUESTION #38    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.8517, -15.317, -14.8122, -14.6809]
>> QUESTION #39    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.1576, -8.6608, -10.6452, -9.4168]
>> QUESTION #40    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.9552, -14.4854, -15.1038, -15.4693]
>> QUESTION #41    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-15.9515, -14.9317, -15.064, -16.1474]
>> QUESTION #42    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-16.4622, -15.076, -15.7275, -15.7447]
>> QUESTION #43    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.7124, -13.7783, -14.1769, -17.0196]
>> QUESTION #44    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.5745, -18.1149, -16.3894, -13.113]
>> QUESTION #45    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.5029, -13.6346, -15.61, -14.9966]
>> QUESTION #46    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.6721, -13.3883, -15.3213, -13.0206]
>> QUESTION #47    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.4451, -12.1403, -9.2099, -10.0294]
>> QUESTION #48    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-16.4272, -14.4362, -14.4657, -16.1192]
>> QUESTION #49    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-15.7286, -16.7212, -18.4696, -17.6344]
>> QUESTION #50    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6458, -13.2063, -12.1194, -14.5383]
>> QUESTION #51    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.8969, -14.4294, -16.2593, -12.8383]
>> QUESTION #52    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.7762, -14.5664, -14.4204, -17.5655]
>> QUESTION #53    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.147, -13.4845, -13.3808, -12.627]
>> QUESTION #54    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-22.8913, -16.4181, -15.2743, -21.1284]
>> QUESTION #55    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.0396, -15.5416, -13.2258, -15.2818]
>> QUESTION #56    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8574, -15.0594, -16.066, -14.2199]
>> QUESTION #57    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.9801, -15.9744, -14.5133, -12.6394]
>> QUESTION #58    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8446, -14.3207, -14.1053, -12.644]
>> QUESTION #59    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.173, -14.5981, -15.4327, -15.1834]
>> QUESTION #60    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-14.2341, -12.3376, -14.7548, -11.889]
>> QUESTION #61    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-18.1952, -18.1793, -16.5702, -17.1422]
>> QUESTION #62    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-15.5207, -13.4457, -14.6225, -14.3288]
>> QUESTION #63    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-15.8535, -15.1514, -15.7644, -16.6155]
>> QUESTION #64    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.7931, -14.2586, -13.8036, -14.7602]
>> QUESTION #65    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-18.254, -15.7951, -18.1044, -18.2068]
>> QUESTION #66    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.0094, -15.3173, -20.269, -14.9116]
>> QUESTION #67    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.2803, -14.5261, -14.8475, -13.4361]
>> QUESTION #68    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.9605, -16.1717, -15.7095, -14.9711]
