================================================================================
Experiment Configuration
================================================================================
Dataset: cqa-500
Model Family: gpt-j
Model Version: EleutherAI/gpt-j-6B
Answer Mode: index
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-7.7274, -7.9498, -9.0631, -9.1485]
>> QUESTION #2     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-5.8668, -6.9733, -8.4187, -7.7664]
>> QUESTION #3     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-7.4348, -7.4785, -8.3271, -8.5146]
>> QUESTION #4     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.3524, -9.3691, -9.4007, -9.5463]
>> QUESTION #5     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.0447, -8.2487, -7.3389, -7.9477]
>> QUESTION #6     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-7.1996, -8.7903, -9.3585, -9.6622]
>> QUESTION #7     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.5969, -7.8123, -8.814, -8.3838]
>> QUESTION #8     | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-7.4914, -8.9818, -9.4931, -9.6663]
>> QUESTION #9     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-7.5802, -9.5237, -9.4891, -8.8483]
>> QUESTION #10    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-6.845, -7.7091, -8.3278, -7.2883]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.6626, -7.4363, -8.3633, -7.8442]
>> QUESTION #12    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.2623, -8.076, -7.8503, -7.2628]
>> QUESTION #13    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.3217, -7.3864, -8.7424, -7.4487]
>> QUESTION #14    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.4727, -8.106, -8.9586, -9.4555]
>> QUESTION #15    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-7.1039, -9.0194, -9.3839, -9.9124]
>> QUESTION #16    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-7.1093, -9.0896, -9.2207, -9.2395]
>> QUESTION #17    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-7.4249, -7.5554, -9.5304, -8.8566]
>> QUESTION #18    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-6.213, -8.8772, -9.2542, -9.3779]
>> QUESTION #19    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-6.7596, -8.3027, -9.8483, -8.4066]
>> QUESTION #20    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-7.411, -7.7899, -8.1837, -9.419]
>> QUESTION #21    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-7.4252, -8.5446, -9.6466, -9.2123]
>> QUESTION #22    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-7.521, -8.2924, -8.9846, -7.6731]
