================================================================================
Experiment Configuration
================================================================================
Dataset: cqa-500
Model Family: gpt4all-j
Model Version: nomic-ai/gpt4all-j
Answer Mode: index-desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.546, -15.242, -15.4487, -17.5351]
>> QUESTION #2     | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-18.0442, -18.6181, -17.324, -17.2096]
>> QUESTION #3     | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.024, -14.6759, -16.5992, -16.4713]
>> QUESTION #4     | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.4926, -17.0968, -18.5701, -13.5848]
>> QUESTION #5     | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.7203, -14.0692, -15.8885, -15.8397]
>> QUESTION #6     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.3009, -15.7668, -16.2928, -17.5185]
>> QUESTION #7     | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-17.5767, -18.0138, -17.0746, -16.965]
>> QUESTION #8     | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.3334, -15.1622, -18.1199, -14.8137]
>> QUESTION #9     | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.9512, -14.9629, -16.7631, -15.5444]
>> QUESTION #10    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.0495, -17.7972, -15.0237, -15.3386]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.9529, -18.5538, -17.5526, -16.7031]
>> QUESTION #12    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.4623, -13.7851, -16.1508, -15.6917]
>> QUESTION #13    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.0792, -16.321, -15.9357, -16.0113]
>> QUESTION #14    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.8015, -17.3135, -18.0719, -15.1552]
>> QUESTION #15    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.1612, -16.5957, -16.8922, -14.0702]
>> QUESTION #16    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-16.6719, -17.0836, -16.9964, -17.3185]
>> QUESTION #17    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.842, -16.2053, -14.431, -15.3232]
>> QUESTION #18    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.0562, -16.0622, -14.2193, -16.4542]
>> QUESTION #19    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-18.6214, -17.8663, -14.2568, -15.8967]
>> QUESTION #20    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.3011, -16.2411, -15.7953, -14.0153]
>> QUESTION #21    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-15.8971, -15.3953, -14.8937, -16.1943]
>> QUESTION #22    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-16.6259, -18.9993, -16.8054, -16.9765]
>> QUESTION #23    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-18.9642, -14.6409, -16.5203, -19.7458]
>> QUESTION #24    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.0809, -16.0906, -14.7326, -16.4514]
>> QUESTION #25    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.1389, -20.0005, -15.2399, -17.2308]
>> QUESTION #26    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-15.7235, -17.812, -15.9692, -19.8145]
>> QUESTION #27    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.7293, -17.0504, -17.8503, -14.0344]
>> QUESTION #28    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.6789, -13.6222, -14.3694, -14.6093]
>> QUESTION #29    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-17.0257, -19.664, -18.3265, -18.0489]
>> QUESTION #30    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.0598, -18.9268, -18.7454, -17.1923]
>> QUESTION #31    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.0989, -14.2513, -16.0485, -20.0376]
>> QUESTION #32    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-18.7352, -17.9756, -13.9778, -17.3645]
>> QUESTION #33    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.1282, -16.1012, -15.1869, -17.7921]
>> QUESTION #34    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-17.0872, -18.7493, -18.3153, -16.7627]
>> QUESTION #35    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.5359, -17.109, -14.5967, -15.8786]
>> QUESTION #36    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.9415, -16.3244, -16.1635, -14.4366]
>> QUESTION #37    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-17.0279, -17.5371, -17.9495, -17.213]
>> QUESTION #38    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.6498, -15.427, -15.8594, -17.7276]
>> QUESTION #39    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.0487, -16.4486, -16.7766, -15.8273]
>> QUESTION #40    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.4094, -15.9527, -19.1943, -20.316]
>> QUESTION #41    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-17.2055, -16.0328, -14.3719, -16.7175]
>> QUESTION #42    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.9029, -13.6646, -16.9397, -15.3815]
>> QUESTION #43    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-19.3856, -17.6142, -18.5722, -14.31]
>> QUESTION #44    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-18.6221, -17.6058, -14.5048, -16.2505]
>> QUESTION #45    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-14.0274, -17.4818, -16.5578, -17.1684]
>> QUESTION #46    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.8779, -17.0617, -17.5455, -14.7026]
>> QUESTION #47    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-16.4684, -15.0344, -16.3609, -17.8534]
>> QUESTION #48    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.0516, -15.911, -14.1479, -20.0168]
>> QUESTION #49    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-13.4353, -14.818, -16.1588, -15.6506]
>> QUESTION #50    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-16.3721, -16.8518, -17.2542, -15.0745]
>> QUESTION #51    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-18.6453, -16.8076, -14.0844, -16.6904]
>> QUESTION #52    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-17.0997, -17.1008, -14.1634, -17.3624]
>> QUESTION #53    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-18.1753, -15.7428, -15.4858, -14.5845]
>> QUESTION #54    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.0097, -16.7829, -14.5003, -16.509]
>> QUESTION #55    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-13.6404, -19.3911, -16.7443, -17.1669]
>> QUESTION #56    | Ground Truth: 1 | Answer: 0 | ✘
