================================================================================
Experiment Configuration
================================================================================
Dataset: RACE-500
Model Family: gpt-j
Model Version: EleutherAI/gpt-j-6B
Answer Mode: desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.3129, -10.6711, -11.5511, -12.1737]
>> QUESTION #2     | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-12.2376, -11.9682, -11.5038, -10.9531]
>> QUESTION #3     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.0834, -9.8993, -11.1003, -11.0177]
>> QUESTION #4     | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-12.8836, -12.2888, -12.4469, -11.9832]
>> QUESTION #5     | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.9505, -12.7486, -11.2929, -11.5416]
>> QUESTION #6     | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-13.2644, -11.9627, -11.5215, -11.4406]
>> QUESTION #7     | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-11.7309, -17.4581, -10.0597, -11.2677]
>> QUESTION #8     | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-10.7187, -12.2618, -12.0329, -10.0582]
>> QUESTION #9     | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.4066, -11.0158, -11.4319, -10.4385]
>> QUESTION #10    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.6171, -14.2448, -13.9147, -13.5598]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.8685, -11.7264, -10.9926, -10.6817]
>> QUESTION #12    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.535, -11.9543, -11.8126, -12.0815]
>> QUESTION #13    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.327, -12.2838, -12.5713, -11.6193]
>> QUESTION #14    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.4048, -11.3428, -11.706, -11.8037]
>> QUESTION #15    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.996, -10.9745, -9.4719, -10.5831]
>> QUESTION #16    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.5306, -10.1095, -11.032, -11.7699]
>> QUESTION #17    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.9581, -10.8293, -10.2955, -11.1716]
>> QUESTION #18    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.6873, -13.6763, -14.2287, -11.4884]
>> QUESTION #19    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.5127, -10.4154, -10.7286, -10.0277]
>> QUESTION #20    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.9914, -10.3959, -10.3831, -10.567]
>> QUESTION #21    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.8547, -11.4607, -12.1987, -11.8083]
>> QUESTION #22    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.5921, -11.9044, -12.6363, -12.1589]
>> QUESTION #23    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.8438, -10.198, -10.6747, -10.0015]
>> QUESTION #24    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.2478, -11.5083, -13.7479, -11.7819]
>> QUESTION #25    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-12.0256, -11.7625, -11.0227, -12.3265]
>> QUESTION #26    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.4491, -12.3509, -11.9425, -12.7961]
>> QUESTION #27    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.0667, -13.4458, -12.8522, -13.0673]
>> QUESTION #28    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.3533, -13.2338, -11.9821, -13.7348]
>> QUESTION #29    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6364, -11.6953, -11.7216, -10.6369]
>> QUESTION #30    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.4989, -11.717, -11.8461, -11.8693]
>> QUESTION #31    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-11.8031, -11.2425, -10.3174, -10.7154]
>> QUESTION #32    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.0982, -12.6181, -13.0782, -10.7586]
>> QUESTION #33    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-10.8899, -10.3442, -11.2007, -10.4448]
>> QUESTION #34    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.9817, -8.7667, -9.0915, -12.176]
>> QUESTION #35    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-11.8798, -12.0786, -13.0877, -11.0289]
>> QUESTION #36    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8856, -11.7186, -11.6327, -11.9197]
>> QUESTION #37    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.4011, -10.1106, -10.0828, -10.7913]
>> QUESTION #38    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.9561, -11.2079, -11.426, -11.3352]
>> QUESTION #39    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-8.141, -5.7561, -8.8305, -6.5337]
>> QUESTION #40    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.2696, -10.5051, -10.6942, -10.9189]
>> QUESTION #41    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-12.1753, -11.1932, -11.7294, -11.9973]
>> QUESTION #42    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.7501, -11.9972, -11.33, -11.058]
>> QUESTION #43    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2428, -12.1132, -11.8127, -12.8725]
>> QUESTION #44    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.9998, -14.6041, -13.0964, -10.4401]
>> QUESTION #45    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.374, -10.3843, -11.0604, -11.4325]
>> QUESTION #46    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.814, -8.9213, -10.3972, -9.0946]
>> QUESTION #47    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.4128, -12.4562, -11.2532, -9.9108]
>> QUESTION #48    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-11.5669, -10.9485, -11.145, -12.7146]
>> QUESTION #49    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.0437, -12.7332, -13.4037, -12.9871]
>> QUESTION #50    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.3447, -11.913, -11.9699, -12.9195]
>> QUESTION #51    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.592, -11.3166, -12.8253, -11.5975]
>> QUESTION #52    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.8458, -11.8631, -11.0227, -13.2387]
>> QUESTION #53    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1445, -10.8956, -11.1834, -10.9405]
>> QUESTION #54    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-17.1092, -11.3195, -12.2438, -16.3537]
>> QUESTION #55    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2352, -14.3761, -12.0576, -12.5917]
>> QUESTION #56    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-7.6536, -12.6215, -14.4374, -12.2434]
>> QUESTION #57    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-10.9786, -12.4547, -11.9248, -10.473]
>> QUESTION #58    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8296, -11.6557, -12.5823, -12.2507]
>> QUESTION #59    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2653, -11.2841, -11.8323, -12.0865]
>> QUESTION #60    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-12.441, -11.2553, -13.1834, -10.264]
>> QUESTION #61    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-17.3234, -15.6989, -15.0032, -16.2912]
>> QUESTION #62    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-10.3966, -8.7775, -9.4844, -9.4416]
>> QUESTION #63    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-13.0403, -12.5573, -13.4022, -13.8124]
>> QUESTION #64    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.1884, -12.0173, -10.696, -12.2946]
>> QUESTION #65    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.6037, -11.9631, -13.4582, -12.874]
>> QUESTION #66    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.9239, -11.6436, -17.4796, -12.8102]
>> QUESTION #67    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.1199, -10.3686, -11.5887, -10.659]
>> QUESTION #68    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.7808, -12.4395, -12.8769, -12.8806]
>> QUESTION #69    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.5373, -11.649, -11.8492, -12.3769]
>> QUESTION #70    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-12.0785, -11.8431, -11.3873, -10.8887]
>> QUESTION #71    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-12.9091, -12.6562, -12.5176, -12.104]
>> QUESTION #72    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-10.8916, -10.4973, -11.0619, -11.2795]
>> QUESTION #73    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-11.4544, -11.7232, -11.3113, -10.9448]
>> QUESTION #74    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.6436, -12.231, -13.1431, -12.1695]
>> QUESTION #75    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-10.4244, -11.0331, -9.8989, -8.8987]
>> QUESTION #76    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.2638, -11.6077, -10.2447, -12.0356]
>> QUESTION #77    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.2476, -13.4274, -13.3134, -13.9615]
>> QUESTION #78    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.5052, -16.6213, -15.1414, -17.1961]
>> QUESTION #79    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.8112, -10.7568, -12.0943, -12.2691]
>> QUESTION #80    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.3905, -12.7618, -11.713, -11.33]
>> QUESTION #81    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2676, -12.4418, -14.509, -13.176]
>> QUESTION #82    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-14.2917, -14.1449, -15.7627, -14.8946]
>> QUESTION #83    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.9357, -11.2826, -11.5855, -13.1996]
>> QUESTION #84    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2451, -11.6164, -14.8376, -11.3825]
>> QUESTION #85    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-12.8481, -11.4649, -12.7237, -12.4093]
>> QUESTION #86    | Ground Truth: 0 | Answer: 0 | ✔
