================================================================================
Experiment Configuration
================================================================================
Dataset: RACE-500
Model Family: gpt-j
Model Version: EleutherAI/gpt-j-6B
Answer Mode: index-desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.2516, -11.3343, -11.9979, -12.864]
>> QUESTION #2     | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.5647, -11.2679, -11.4244, -11.2833]
>> QUESTION #3     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.5752, -11.4355, -12.0628, -11.73]
>> QUESTION #4     | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-13.2685, -12.7118, -13.0881, -12.6981]
>> QUESTION #5     | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.4178, -12.6238, -11.945, -12.1387]
>> QUESTION #6     | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-14.0993, -12.5635, -12.2636, -12.1074]
>> QUESTION #7     | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-11.8562, -15.0734, -11.5543, -12.843]
>> QUESTION #8     | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.4518, -13.1191, -12.7767, -12.4758]
>> QUESTION #9     | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.5826, -11.255, -12.0988, -10.836]
>> QUESTION #10    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.4749, -14.3863, -14.1344, -13.4481]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8447, -13.064, -12.4505, -11.3589]
>> QUESTION #12    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.5459, -12.0988, -11.8525, -11.9338]
>> QUESTION #13    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.7183, -12.4056, -13.2252, -12.6014]
>> QUESTION #14    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.1949, -12.3, -13.2295, -13.3757]
>> QUESTION #15    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-9.5583, -10.1065, -10.9234, -9.0699]
>> QUESTION #16    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.1192, -10.854, -11.5706, -12.2024]
>> QUESTION #17    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-13.0368, -12.7508, -12.7592, -13.1923]
>> QUESTION #18    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0263, -12.2507, -11.2333, -11.6722]
>> QUESTION #19    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1466, -10.5785, -11.5409, -10.8999]
>> QUESTION #20    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.464, -11.7491, -11.8919, -11.6538]
>> QUESTION #21    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.3134, -12.1334, -12.7897, -12.2425]
>> QUESTION #22    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-12.056, -13.0829, -13.5084, -13.7763]
>> QUESTION #23    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6221, -11.7414, -12.206, -12.0812]
>> QUESTION #24    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.5613, -12.158, -14.056, -12.453]
>> QUESTION #25    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.9766, -12.3713, -11.4971, -12.6766]
>> QUESTION #26    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-11.388, -12.4631, -12.3331, -12.9986]
>> QUESTION #27    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-11.7042, -10.2205, -10.8807, -10.5261]
>> QUESTION #28    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.6608, -14.6252, -11.2707, -12.2003]
>> QUESTION #29    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.0231, -12.8775, -12.4396, -11.8694]
>> QUESTION #30    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.6699, -11.6922, -11.68, -11.8052]
>> QUESTION #31    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-11.9757, -12.0956, -11.3612, -12.1797]
>> QUESTION #32    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.3426, -12.3147, -12.5485, -10.8367]
>> QUESTION #33    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.4788, -11.176, -11.6303, -11.0412]
>> QUESTION #34    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.1374, -9.4487, -9.3894, -10.7914]
>> QUESTION #35    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-12.2526, -12.7076, -13.7313, -11.6075]
>> QUESTION #36    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.7859, -12.3565, -12.2391, -12.3563]
>> QUESTION #37    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.9598, -11.2014, -10.8824, -11.9695]
>> QUESTION #38    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-12.1336, -12.1482, -12.2263, -12.363]
>> QUESTION #39    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-9.1112, -8.2042, -10.2483, -8.4169]
>> QUESTION #40    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-11.898, -11.6661, -11.6301, -11.8465]
>> QUESTION #41    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.9531, -11.9831, -12.4302, -12.7244]
>> QUESTION #42    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.9835, -12.4569, -11.8059, -11.1367]
>> QUESTION #43    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.124, -12.9415, -12.6592, -14.4138]
>> QUESTION #44    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.4772, -14.7042, -14.021, -13.2839]
>> QUESTION #45    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.5039, -11.1893, -11.6685, -12.3886]
>> QUESTION #46    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.8536, -10.661, -11.355, -10.7367]
>> QUESTION #47    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-8.9974, -10.4884, -10.56, -10.3476]
>> QUESTION #48    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.7344, -12.0596, -12.0268, -13.2154]
>> QUESTION #49    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-10.4377, -11.5543, -11.4125, -11.5045]
>> QUESTION #50    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.1965, -13.4184, -12.4448, -14.1646]
>> QUESTION #51    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.1886, -11.6591, -12.9606, -12.0644]
>> QUESTION #52    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.0142, -12.2724, -11.4397, -13.8373]
>> QUESTION #53    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.8678, -11.6724, -12.3523, -11.4125]
>> QUESTION #54    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.9132, -11.0707, -12.287, -14.5601]
>> QUESTION #55    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.4278, -13.6455, -11.9552, -12.522]
>> QUESTION #56    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.5037, -10.6704, -10.7947, -9.8325]
>> QUESTION #57    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-12.0583, -13.3143, -12.6583, -12.9092]
>> QUESTION #58    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.4073, -11.4606, -12.7044, -12.5495]
>> QUESTION #59    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.972, -11.2399, -11.2618, -11.5657]
>> QUESTION #60    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.3935, -11.9679, -13.1692, -12.3163]
>> QUESTION #61    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-12.2317, -12.4643, -11.9237, -12.3814]
>> QUESTION #62    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-10.2573, -9.4661, -10.1661, -10.0936]
>> QUESTION #63    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-12.3486, -11.7059, -12.4558, -12.8305]
>> QUESTION #64    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2709, -11.9707, -11.3755, -12.4417]
>> QUESTION #65    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-12.3969, -12.9778, -13.5281, -13.194]
>> QUESTION #66    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.6522, -11.1818, -15.2205, -11.8042]
>> QUESTION #67    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.4858, -11.2959, -12.4256, -11.8815]
>> QUESTION #68    | Ground Truth: 0 | Answer: 1 | ✘
