================================================================================
Experiment Configuration
================================================================================
Dataset: cqa-500
Model Family: gpt-j
Model Version: EleutherAI/gpt-j-6B
Answer Mode: desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.199, -10.0628, -10.1974, -10.7959]
>> QUESTION #2     | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.6756, -12.4692, -11.2712, -11.7148]
>> QUESTION #3     | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.0384, -9.3343, -9.7905, -9.3915]
>> QUESTION #4     | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-10.6789, -10.4384, -11.2892, -8.822]
>> QUESTION #5     | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-11.6741, -9.5881, -10.8615, -10.7257]
>> QUESTION #6     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.0363, -10.9725, -11.4924, -13.4112]
>> QUESTION #7     | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.5105, -11.794, -10.9261, -10.7349]
>> QUESTION #8     | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-10.6758, -9.6466, -11.4578, -9.3622]
>> QUESTION #9     | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-10.8016, -9.7073, -10.0948, -9.4748]
>> QUESTION #10    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.6248, -11.2725, -10.2649, -10.4374]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-9.4658, -11.771, -11.3232, -11.1298]
>> QUESTION #12    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-9.5676, -9.1886, -10.0289, -9.5213]
>> QUESTION #13    | Ground Truth: 1 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.1549, -10.9518, -10.9772, -10.5488]
>> QUESTION #14    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-9.9825, -10.9293, -10.6507, -8.931]
>> QUESTION #15    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.1004, -10.6081, -10.5466, -8.5595]
>> QUESTION #16    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-11.6814, -11.5821, -10.9335, -11.3755]
>> QUESTION #17    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-9.8637, -10.162, -9.19, -10.1335]
>> QUESTION #18    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.4071, -10.881, -9.9658, -10.6249]
>> QUESTION #19    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.6432, -11.1821, -9.0636, -10.1179]
>> QUESTION #20    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-11.55, -11.2972, -10.79, -9.2004]
>> QUESTION #21    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.2513, -10.0754, -9.4228, -10.7266]
>> QUESTION #22    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.5779, -11.6661, -10.0478, -10.1198]
>> QUESTION #23    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.6316, -9.3384, -10.9308, -13.2391]
>> QUESTION #24    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.0313, -11.0427, -9.389, -9.7495]
>> QUESTION #25    | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-10.0536, -12.8392, -9.8117, -11.4184]
>> QUESTION #26    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-9.9568, -11.7358, -10.2769, -13.445]
>> QUESTION #27    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-9.7524, -11.1679, -11.717, -9.0936]
>> QUESTION #28    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.0126, -7.721, -7.7368, -8.7441]
>> QUESTION #29    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-11.2698, -12.9937, -11.9492, -12.3516]
>> QUESTION #30    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-10.1736, -10.9198, -11.98, -10.5801]
>> QUESTION #31    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-10.947, -9.7191, -10.4783, -13.225]
>> QUESTION #32    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-12.3327, -12.1902, -9.0762, -10.748]
>> QUESTION #33    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-11.0306, -11.6173, -10.2453, -11.6726]
