================================================================================
Experiment Configuration
================================================================================
Dataset: cqa-500
Model Family: gpt4all-j
Model Version: nomic-ai/gpt4all-j
Answer Mode: desc
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-16.3845, -13.1257, -13.0752, -15.8225]
>> QUESTION #2     | Ground Truth: 3 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-17.9106, -17.9604, -15.0878, -16.4619]
>> QUESTION #3     | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.9242, -13.6028, -14.2163, -14.2782]
>> QUESTION #4     | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.0262, -16.0392, -17.1848, -12.097]
>> QUESTION #5     | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-14.9443, -12.7132, -13.872, -14.5368]
>> QUESTION #6     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.9597, -16.0342, -15.8552, -17.4161]
>> QUESTION #7     | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-17.0282, -16.0937, -15.3018, -15.5841]
>> QUESTION #8     | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.974, -13.8478, -16.559, -13.3817]
>> QUESTION #9     | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.6473, -13.5701, -14.8229, -13.2189]
>> QUESTION #10    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.8197, -15.7762, -13.2877, -13.761]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-12.795, -17.3716, -15.5929, -14.9903]
>> QUESTION #12    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-12.6903, -12.5906, -13.735, -13.5023]
>> QUESTION #13    | Ground Truth: 1 | Answer: 1 | ✔
-- Log Inverse-Perplexity: [-15.8634, -14.7365, -14.8811, -15.0904]
>> QUESTION #14    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.1044, -16.8638, -16.2011, -13.6417]
>> QUESTION #15    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-15.0792, -14.5292, -14.2388, -11.9685]
>> QUESTION #16    | Ground Truth: 2 | Answer: 2 | ✔
-- Log Inverse-Perplexity: [-15.3851, -15.6191, -14.974, -15.461]
>> QUESTION #17    | Ground Truth: 1 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.2584, -14.3163, -13.1063, -13.5848]
>> QUESTION #18    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-13.7245, -15.1591, -13.0713, -15.1398]
>> QUESTION #19    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-18.2832, -17.6127, -13.2271, -14.4484]
>> QUESTION #20    | Ground Truth: 0 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-14.3966, -14.4785, -13.9252, -12.279]
>> QUESTION #21    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.5039, -13.5043, -13.0238, -14.7665]
>> QUESTION #22    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.2456, -17.9367, -15.3215, -16.1821]
>> QUESTION #23    | Ground Truth: 2 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-18.2097, -13.2295, -15.3661, -18.6435]
>> QUESTION #24    | Ground Truth: 3 | Answer: 3 | ✔
-- Log Inverse-Perplexity: [-17.8641, -15.1117, -13.4715, -12.6384]
>> QUESTION #25    | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-13.7056, -19.0265, -13.9606, -15.5877]
>> QUESTION #26    | Ground Truth: 0 | Answer: 2 | ✘
-- Log Inverse-Perplexity: [-14.18, -16.4332, -14.1362, -18.3432]
>> QUESTION #27    | Ground Truth: 2 | Answer: 3 | ✘
-- Log Inverse-Perplexity: [-13.3748, -15.5982, -16.3042, -12.572]
>> QUESTION #28    | Ground Truth: 0 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-15.1306, -12.0605, -12.09, -13.2802]
>> QUESTION #29    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-15.3782, -17.7252, -17.552, -16.9293]
>> QUESTION #30    | Ground Truth: 3 | Answer: 0 | ✘
