================================================================================
Experiment Configuration
================================================================================
Dataset: RACE-500
Model Family: gpt-j
Model Version: EleutherAI/gpt-j-6B
Answer Mode: index
================================================================================
Experiment Appendix
================================================================================
>> QUESTION #1     | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-6.2309, -7.3063, -8.0726, -8.4009]
>> QUESTION #2     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-7.7358, -9.2364, -9.546, -10.0216]
>> QUESTION #3     | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-6.6858, -9.2381, -9.4885, -8.2956]
>> QUESTION #4     | Ground Truth: 3 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.7395, -7.6285, -8.8629, -9.1024]
>> QUESTION #5     | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-6.1584, -6.8972, -8.8195, -9.0354]
>> QUESTION #6     | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-6.7411, -6.073, -7.8255, -7.9185]
>> QUESTION #7     | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-5.5338, -7.4046, -7.4766, -8.8123]
>> QUESTION #8     | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.0716, -6.6789, -7.4381, -7.8761]
>> QUESTION #9     | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.8431, -8.1482, -9.1864, -8.7171]
>> QUESTION #10    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.8419, -7.3343, -9.0658, -8.8512]
>> QUESTION #11    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.1428, -7.6134, -8.0157, -7.8759]
>> QUESTION #12    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-5.8879, -7.695, -8.0001, -7.9281]
>> QUESTION #13    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.507, -8.2649, -8.7809, -8.258]
>> QUESTION #14    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-5.7936, -7.8782, -8.0216, -8.6983]
>> QUESTION #15    | Ground Truth: 1 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-5.159, -7.5752, -8.1557, -7.4788]
>> QUESTION #16    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-5.064, -7.7277, -8.241, -9.0496]
>> QUESTION #17    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-6.1424, -6.074, -8.9058, -9.6289]
>> QUESTION #18    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-5.3132, -8.438, -7.9213, -10.5531]
>> QUESTION #19    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-5.6781, -7.0648, -8.1359, -7.9074]
>> QUESTION #20    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-6.9406, -8.4054, -9.9683, -9.3339]
>> QUESTION #21    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-5.5551, -6.2343, -8.2951, -7.6627]
>> QUESTION #22    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-6.1202, -8.005, -9.562, -9.8474]
>> QUESTION #23    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-5.1996, -7.4894, -9.4413, -8.5287]
>> QUESTION #24    | Ground Truth: 3 | Answer: 1 | ✘
-- Log Inverse-Perplexity: [-6.2389, -5.8814, -7.0033, -7.9391]
>> QUESTION #25    | Ground Truth: 2 | Answer: 0 | ✘
-- Log Inverse-Perplexity: [-4.9685, -7.04, -7.6235, -7.9282]
>> QUESTION #26    | Ground Truth: 0 | Answer: 0 | ✔
-- Log Inverse-Perplexity: [-5.3622, -5.612, -6.8327, -7.1422]
